STUDY_ID,VISIT_NUMBER,VISIT_NAME,OPTIONAL_VISIT_FLAG,FORM_NAME,PROCEDURE_NAME
C5751002,1,SCREENING,"",DATE OF VISIT,VISIT
C5751002,2,RANDOMIZATION,"",DATE OF VISIT,VISIT
C5751002,3,BASELINE,"",DATE OF VISIT,VISIT
C5751002,10,CYCLE 1 DAY 1,"",DATE OF VISIT,VISIT
C5751002,11,CYCLE 1 DAY 2,"",DATE OF VISIT,VISIT
C5751002,12,CYCLE 1 DAY 4,"",DATE OF VISIT,VISIT
C5751002,13,CYCLE 1 DAY 8,"",DATE OF VISIT,VISIT
C5751002,14,CYCLE 1 DAY 15,"",DATE OF VISIT,VISIT
C5751002,15,CYCLE 1 DAY 22,"",DATE OF VISIT,VISIT
C5751002,16,CYCLE 1 DAY 29,"",DATE OF VISIT,VISIT
C5751002,21,CYCLE 2 DAY 1,"",DATE OF VISIT,VISIT
C5751002,22,CYCLE 2 DAY 2,"",DATE OF VISIT,VISIT
C5751002,23,CYCLE 2 DAY 4,"",DATE OF VISIT,VISIT
C5751002,24,CYCLE 2 DAY 8,"",DATE OF VISIT,VISIT
C5751002,25,CYCLE 2 DAY 15,"",DATE OF VISIT,VISIT
C5751002,26,CYCLE 2 DAY 22,"",DATE OF VISIT,VISIT
C5751002,27,CYCLE 2 DAY 29,"",DATE OF VISIT,VISIT
C5751002,29,<D1/> CYCLE,"",DATE OF VISIT,VISIT
C5751002,65,<D15/> CYCLE,"",DATE OF VISIT,VISIT
C5751002,140,WEEK 9,"",DATE OF VISIT,VISIT
C5751002,143,WEEK,"",DATE OF VISIT,VISIT
C5751002,203,END OF TREATMENT,"",DATE OF VISIT,VISIT
C5751002,211,UNSCHED,"",DATE OF VISIT,VISIT
C5751002,215,LTFU,"",DATE OF VISIT,VISIT
C5751002,225,END OF STUDY,"",DATE OF VISIT,VISIT
C5751002,229,LTFU PREG,"",DATE OF VISIT,VISIT
